Well,Sample_ID,Apiary_ID,Content,Cq,SQ,Melt Temp
F02,QN_Millers_091820_F2,QN_Millers,Unkn,,,None
G01,QN_Millers_091820_F21,QN_Millers,Unkn,,,None
G02,QN_Millers_091820_F22,QN_Millers,Unkn,,,None
G03,QN_Millers_091820_F23,QN_Millers,Unkn,,,None
G04,QN_Millers_091820_F24,QN_Millers,Unkn,38.02343949,1.190795235,None
G05,QN_Millers_091820_F25,QN_Millers,Unkn,,,None
G06,QN_Millers_091820_F26,QN_Millers,Unkn,,,None
G07,QN_Millers_091820_F27,QN_Millers,Unkn,,,None
G08,QN_Millers_091820_F28,QN_Millers,Unkn,34.82384567,5.531463354,82
G09,QN_Millers_091820_F29,QN_Millers,Unkn,,,None
F03,QN_Millers_091820_F3,QN_Millers,Unkn,36.70818342,2.238833478,None
G10,QN_Millers_091820_F30,QN_Millers,Unkn,,,None
F04,QN_Millers_091820_F4,QN_Millers,Unkn,,,None
F05,QN_Millers_091820_F5,QN_Millers,Unkn,,,None
F06,QN_Millers_091820_F6,QN_Millers,Unkn,,,None
F07,QN_Millers_091820_F7,QN_Millers,Unkn,,,None
F08,QN_Millers_091820_F8,QN_Millers,Unkn,,,None
F09,QN_Millers_091820_F9,QN_Millers,Unkn,,,None
F12,QN-cDNA control,QN_Millers,Neg Ctrl,,,None
C01,TD_Home_Yard_091020_F1,TD_Home_Yard,Unkn,36.33121795,15.31293865,None
C10,TD_Home_Yard_091020_F10,TD_Home_Yard,Unkn,35.04593625,31.95756265,82
C02,TD_Home_Yard_091020_F2,TD_Home_Yard,Unkn,33.01654932,102.1103789,82.5
C03,TD_Home_Yard_091020_F3,TD_Home_Yard,Unkn,,,None
C04,TD_Home_Yard_091020_F4,TD_Home_Yard,Unkn,,,None
C05,TD_Home_Yard_091020_F5,TD_Home_Yard,Unkn,33.11144644,96.71167386,82.5
C06,TD_Home_Yard_091020_F6,TD_Home_Yard,Unkn,28.12400185,1680.098098,82
C07,TD_Home_Yard_091020_F7,TD_Home_Yard,Unkn,,,None
C08,TD_Home_Yard_091020_F8,TD_Home_Yard,Unkn,,,None
C09,TD_Home_Yard_091020_F9,TD_Home_Yard,Unkn,,,None
D01,TD_Home_Yard_092020_F1,TD_Home_Yard,Unkn,33.47260638,78.64954309,82
D10,TD_Home_Yard_092020_F10,TD_Home_Yard,Unkn,31.06859012,311.4035546,82.5
D02,TD_Home_Yard_092020_F2,TD_Home_Yard,Unkn,33.00326805,102.8896168,82
D03,TD_Home_Yard_092020_F3,TD_Home_Yard,Unkn,32.2486798,158.474252,82
D04,TD_Home_Yard_092020_F4,TD_Home_Yard,Unkn,,,None
D05,TD_Home_Yard_092020_F5,TD_Home_Yard,Unkn,,,None
D06,TD_Home_Yard_092020_F6,TD_Home_Yard,Unkn,35.5411568,24.06933553,72.5
D07,TD_Home_Yard_092020_F7,TD_Home_Yard,Unkn,35.02772696,32.29240528,74.5
D08,TD_Home_Yard_092020_F8,TD_Home_Yard,Unkn,34.81625002,36.44790645,81.5
D09,TD_Home_Yard_092020_F9,TD_Home_Yard,Unkn,33.16106544,94.00346114,82
C11,TD-cDNA control,TD_Home,Neg Ctrl,,,None
D01,TI_Mills_091420_F1,TI_Mills,Unkn,,,None
D07,TI_Mills_091420_F11,TI_Mills,Unkn,,,None
D08,TI_Mills_091420_F12,TI_Mills,Unkn,,,None
D09,TI_Mills_091420_F13,TI_Mills,Unkn,,,None
D10,TI_Mills_091420_F14,TI_Mills,Unkn,,,None
D11,TI_Mills_091420_F16,TI_Mills,Unkn,,,None
E01,TI_Mills_091420_F17,TI_Mills,Unkn,,,None
E02,TI_Mills_091420_F18,TI_Mills,Unkn,,,None
E03,TI_Mills_091420_F19,TI_Mills,Unkn,,,None
D02,TI_Mills_091420_F2,TI_Mills,Unkn,,,None
E04,TI_Mills_091420_F20,TI_Mills,Unkn,,,None
D03,TI_Mills_091420_F3,TI_Mills,Unkn,36.12185845,101.9971465,None
D04,TI_Mills_091420_F4,TI_Mills,Unkn,,,None
D05,TI_Mills_091420_F7,TI_Mills,Unkn,,,None
D06,TI_Mills_091420_F8,TI_Mills,Unkn,,,None
E05,TI_Mills_091420_F21,TI_Mills,Unkn,,,None
E06,TI_Mills_091420_F22,TI_Mills,Unkn,,,None
E07,TI_Mills_091420_F23,TI_Mills,Unkn,,,None
E08,TI_Mills_091420_F25,TI_Mills,Unkn,,,None
E09,TI_Mills_091420_F26,TI_Mills,Unkn,,,None
E10,TI_Mills_091420_F27,TI_Mills,Unkn,,,None
D12,TI_Mills-cDNA control,TI_Mills,Neg Ctrl,,,None
E03,UT Home cDNA Control,UT_Home_Yard,Neg Ctrl,,,None
C01,UT_Home_Yard_091120_F1,UT_Home_Yard,Unkn,,,None
C10,UT_Home_Yard_091120_F10,UT_Home_Yard,Unkn,,,None
C02,UT_Home_Yard_091120_F2,UT_Home_Yard,Unkn,,,None
C03,UT_Home_Yard_091120_F3,UT_Home_Yard,Unkn,,,None
C04,UT_Home_Yard_091120_F4,UT_Home_Yard,Unkn,,,None
C05,UT_Home_Yard_091120_F5,UT_Home_Yard,Unkn,,,None
C06,UT_Home_Yard_091120_F6,UT_Home_Yard,Unkn,,,None
C07,UT_Home_Yard_091120_F7,UT_Home_Yard,Unkn,,,None
C08,UT_Home_Yard_091120_F8,UT_Home_Yard,Unkn,,,None
C09,UT_Home_Yard_091120_F9,UT_Home_Yard,Unkn,,,None
E02,UT_Home_Yard_092120_control,UT_Home_Yard,Neg Ctrl,,,None
C11,UT_Home_Yard_092120_F1,UT_Home_Yard,Unkn,34.48726913,6.501363196,82
D08,UT_Home_Yard_092120_F10,UT_Home_Yard,Unkn,,,None
D09,UT_Home_Yard_092120_F11,UT_Home_Yard,Unkn,,,None
D10,UT_Home_Yard_092120_F12,UT_Home_Yard,Unkn,,,None
D11,UT_Home_Yard_092120_F13,UT_Home_Yard,Unkn,,,None
D12,UT_Home_Yard_092120_F14,UT_Home_Yard,Unkn,,,None
E01,UT_Home_Yard_092120_F15,UT_Home_Yard,Unkn,,,None
C12,UT_Home_Yard_092120_F2,UT_Home_Yard,Unkn,,,None
D01,UT_Home_Yard_092120_F3,UT_Home_Yard,Unkn,,,None
D02,UT_Home_Yard_092120_F4,UT_Home_Yard,Unkn,,,None
D03,UT_Home_Yard_092120_F5,UT_Home_Yard,Unkn,,,None
D04,UT_Home_Yard_092120_F6,UT_Home_Yard,Unkn,,,None
D05,UT_Home_Yard_092120_F7,UT_Home_Yard,Unkn,,,None
D06,UT_Home_Yard_092120_F8,UT_Home_Yard,Unkn,35.59680284,3.816854586,None
D07,UT_Home_Yard_092120_F9,UT_Home_Yard,Unkn,,,None
B09,WATER,,NRT,,,None
E11,WATER,,NRT,,,None
B08,Water,,NRT,,,None
D11,Water,,NRT,,,None
B11,Water,,NRT,,,None
B12,Water,,NRT,,,None
E05,Water,,NRT,,,None
C05,Water,,NRT,37.66271793,3.865814612,None
G11,Water,,NRT,,,None
E01,XQ_Kingtown_Beach_090720_F1,XQ_Kingtown_Beach,Unkn,35.82729917,10.92158099,73
E10,XQ_Kingtown_Beach_090720_F10,XQ_Kingtown_Beach,Unkn,39.44903347,1.406900538,None
E02,XQ_Kingtown_Beach_090720_F2,XQ_Kingtown_Beach,Unkn,33.66636327,37.09574675,81
E03,XQ_Kingtown_Beach_090720_F3,XQ_Kingtown_Beach,Unkn,,,None
E04,XQ_Kingtown_Beach_090720_F4,XQ_Kingtown_Beach,Unkn,,,None
